ItemNumb,ConditionID,GenID,ChainID,Group,HoldOut,ItemID,InputZip,TrainingOrder,AdjType,ContrastType,DominantOrder,NonTargetLoc,ActionVidFilename
1,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Spoon,Zena,VAN,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
2,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Spoon,Zena,VNA,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
3,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Spoon,Zena,VNA,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
4,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Spoon,Zena,VNA,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
5,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Headband,Zena,VNA,Texture,NounAdj,NounFirst,First,Action_Headband.mp4
6,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Headband,Zena,VAN,Texture,NounAdj,NounFirst,First,Action_Headband.mp4
7,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Headband,Zena,VNA,Texture,NounAdj,NounFirst,First,Action_Headband.mp4
8,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Headband,Zena,VNA,Texture,NounAdj,NounFirst,First,Action_Headband.mp4
9,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Glasses,Zena,VNA,Shape,NounAdj,NounFirst,First,Action_Glasses.mp4
10,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Glasses,Zena,VNA,Shape,NounAdj,NounFirst,First,Action_Glasses.mp4
11,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Glasses,Zena,VAN,Shape,NounAdj,NounFirst,First,Action_Glasses.mp4
12,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Glasses,Zena,VNA,Shape,NounAdj,NounFirst,First,Action_Glasses.mp4
13,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Paintbrush,Holdout,Holdout,Size,NounAdj,NounFirst,First,Action_Paintbrush.mp4
14,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Paintbrush,Holdout,Holdout,Size,NounAdj,NounFirst,First,Action_Paintbrush.mp4
15,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Paintbrush,Holdout,Holdout,Size,NounAdj,NounFirst,First,Action_Paintbrush.mp4
16,VNA-VAN,Gen1,Chain1,VNA-VAN_Chain1,Paintbrush,Paintbrush,Holdout,Holdout,Size,NounAdj,NounFirst,First,Action_Paintbrush.mp4
1,VNA-VAN,Gen1,Chain10,VNA-VAN_Chain10,Glasses,Paintbrush,Zena,VAN,Size,NounAdj,NounFirst,First,Action_Paintbrush.mp4
2,VNA-VAN,Gen1,Chain10,VNA-VAN_Chain10,Glasses,Paintbrush,Zena,VNA,Size,NounAdj,NounFirst,First,Action_Paintbrush.mp4
3,VNA-VAN,Gen1,Chain10,VNA-VAN_Chain10,Glasses,Paintbrush,Zena,VNA,Size,NounAdj,NounFirst,First,Action_Paintbrush.mp4
4,VNA-VAN,Gen1,Chain10,VNA-VAN_Chain10,Glasses,Paintbrush,Zena,VNA,Size,NounAdj,NounFirst,First,Action_Paintbrush.mp4
5,VNA-VAN,Gen1,Chain10,VNA-VAN_Chain10,Glasses,Headband,Zena,VNA,Texture,NounAdj,NounFirst,First,Action_Headband.mp4
6,VNA-VAN,Gen1,Chain10,VNA-VAN_Chain10,Glasses,Headband,Zena,VAN,Texture,NounAdj,NounFirst,First,Action_Headband.mp4
